,Age,SibSp,Parch,Fare,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Other
0,-0.5603308361781305,0.481287771858981,-0.444999501816175,-0.5032708482286589,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,0.6551066700569848,0.481287771858981,-0.444999501816175,0.7347559687117448,1.0,1,0,0,1,0,1,0,0,0,0,0,1,0
2,-0.2564714596193517,-0.47908676070718687,-0.444999501816175,-0.4902203244943711,1.0,0,0,1,1,0,0,0,1,0,1,0,0,0
3,0.42721213763790067,0.481287771858981,-0.444999501816175,0.3831980602411141,1.0,1,0,0,1,0,0,0,1,0,0,0,1,0
4,0.42721213763790067,-0.47908676070718687,-0.444999501816175,-0.4878035608398733,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0
5,-0.2593380985801533,-0.47908676070718687,-0.444999501816175,-0.4799094440388219,0.0,0,0,1,0,1,0,1,0,0,0,1,0,0
6,1.8705441762921,-0.47908676070718687,-0.444999501816175,0.3592721000615863,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0
7,-2.0796277189720245,2.4020368369913165,0.7107630931786129,-0.2359767880412083,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0
8,-0.180506615479657,-0.47908676070718687,1.8665256881734007,-0.4281907018325702,1.0,0,0,1,1,0,0,0,1,0,0,0,1,0
9,-1.1680495892956881,0.481287771858981,-0.444999501816175,-0.06205100817616179,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0
10,-1.9276980306926352,0.481287771858981,0.7107630931786129,-0.32056351594862936,1.0,0,0,1,1,0,0,0,1,0,1,0,0,0
11,2.1744035528508787,-0.47908676070718687,-0.444999501816175,-0.13012253997420703,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0
12,-0.71226052445752,-0.47908676070718687,-0.444999501816175,-0.4878035608398733,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0
13,0.7310715141966795,0.481287771858981,5.333813473157765,-0.03876887383419231,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0
14,-1.1680495892956881,-0.47908676070718687,-0.444999501816175,-0.4915891794282786,0.0,0,0,1,1,0,0,0,1,0,1,0,0,0
15,1.9465090204317947,-0.47908676070718687,-0.444999501816175,-0.33409739241381675,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0
16,-2.0796277189720245,3.3624113695574844,0.7107630931786129,-0.0803372086915535,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0
17,0.10932811232244531,-0.47908676070718687,-0.444999501816175,-0.39209972012176264,1.0,0,1,0,0,1,0,0,1,0,0,1,0,0
18,0.12335276107912184,0.481287771858981,-0.444999501816175,-0.2954291739418528,0.0,0,0,1,1,0,0,0,1,0,0,0,0,1
19,-0.5462523515767146,-0.47908676070718687,-0.444999501816175,-0.5037542009595585,1.0,0,0,1,1,0,1,0,0,0,0,0,1,0
20,0.42721213763790067,-0.47908676070718687,-0.444999501816175,-0.14075630005399714,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0
21,0.35124729349820594,-0.47908676070718687,-0.444999501816175,-0.39209972012176264,1.0,0,1,0,0,1,0,0,1,0,0,1,0,0
